id,date,text,cleaned
1361102918728884230,2021-02-14 23:59:58+00:00,@CourageBipolar @VoltzRoad @BAIntactivists had counseled a deep PTSD 21 yo man who wanted answers to why he no longer felt pleasure w/girlfriend since circd 3 years ago. His well doctor said his penis would “fall off” because he had tight [not problem] foreskin. Here’s circ suicide https://t.co/z0d0II2WJw, couragebipolar  voltzroad  baintactivists counseled deep ptsd    yo man wanted answer longer felt pleasure w girlfriend circd   year ago  doctor said penis  fall  tight  problem  foreskin  circ suicide   z d ii wjw
1361102815104557057,2021-02-14 23:59:33+00:00,"@pcrafton4 @MrMan45676274 @beardedmilkdud6 @Cinny43419477 @CNNPolitics Lmao. Geez-Us, the weapon doesn’t make a difference, it’s the person using it that matters. Shot placement is what matters, in an active shooter situation. The most used gun in the US in terms of crimes and the #1 leading cause of Gun Deaths, are gun deaths you suicide.", pcrafton   mrman          beardedmilkdud   cinny          cnnpolitics lmao  geez  weapon doesn difference  person matter  shot placement matter  active shooter situation  gun term crime    leading cause gun death  gun death suicide 
1361102759966224386,2021-02-14 23:59:20+00:00,@langoo @St3v3ns1 @BFryback Sounds like the mother that took her children on a suicide run.  Instead of using the crosswalk she took her 3 children and #Jaywalked and got killed by a street racer! Because of the mother’s decision they all died. It was preventable from the start had she used the crosswalk., langoo  st v   bfryback sound like mother took child suicide run   instead crosswalk took   child  jaywalked got killed street racer  mother decision died  preventable start crosswalk 
1361102721139499016,2021-02-14 23:59:11+00:00,"tw // suicide ??

someone talk me out of it pls",tw    suicide     talk pls
1361102674079457281,2021-02-14 23:59:00+00:00,Death metal looked to have exhaled its last by 1997. And then Cannibal Corpse released Gallery Of Suicide and the monster rose up again https://t.co/pTEpGxD0pr,death metal looked exhaled       cannibal corpse released gallery suicide monster rose   ptepgxd pr
1361102641762365442,2021-02-14 23:58:52+00:00,Wrongful death of Capitol police officer? Is there person or persons responsible? What was the cause of suicide of 2 Capitol police officers? Injuries to other police officers? Someone is responsible. Civil suit with discovery? Criminal defendant claims following Trump's orders https://t.co/fDEeiyV8Ni,wrongful death capitol police officer  person person responsible  cause suicide   capitol police officer  injury police officer  responsible  civil suit discovery  criminal defendant claim following trump order   fdeeiyv ni
1361102601970933773,2021-02-14 23:58:43+00:00,"#MichelleCarter persuaded her boyfriend (via text messaging) to commit suicide; he did, and she was sentenced to prison. https://t.co/ISROFmExBM", michellecarter persuaded boyfriend  text messaging  commit suicide   sentenced prison    isrofmexbm
1361102579036532738,2021-02-14 23:58:37+00:00,"@ray8fisher @Ray__Porter Just for fun I played all the trailers from MoS, BvS, Suicide Squad(comic-con ver), and ZSJL, give it a try. Notice they have a similar tone across them all, seem to flow nicely together. At least 3 out of 4 films will now do the same
#Snydercut
#UsUnited
#ZackSnyderJusticeLeague", ray fisher  ray  porter fun played trailer mo  bvs  suicide squad comic con ver   zsjl  try  notice similar tone  flow nicely      film  snydercut  usunited  zacksnyderjusticeleague
1361102549873528838,2021-02-14 23:58:30+00:00,@ashe_funny without knowing the full story) cherry caught wind of this and basically made the suicide post saying that there's people you can talk to and etc. Then we found out that our friend wasn't dead and when we tried saying to cherry that they're alive she didn't delete the post., ashe funny knowing story  cherry caught wind basically suicide post saying people talk etc  found friend wasn dead tried saying cherry alive didn delete post 
1361102438586077186,2021-02-14 23:58:04+00:00,"@TheDemocrats, BOTH WORKING and MIDDLE CLASS Americans desperately need help. Not providing aid to struggling middle class citizens is POLITICAL SUICIDE. Stop parsing, and get this done. .@Sen_JoeManchin .@SenatorSinema .@SpeakerPelosi .@SenSchumer https://t.co/WSsFkLLQ2Z", thedemocrats  working middle class american desperately need help  providing aid struggling middle class citizen political suicide  stop parsing     sen joemanchin   senatorsinema   speakerpelosi   senschumer   wssfkllq z
